user_id,category,count,total,avg,median,min_amount,max_amount
user_304,Авто,15,83859.4,5590.63,1709.4,160.0,49000.0
user_304,Аренда,17,97095.0,5711.47,1000.0,85.0,75500.0
user_304,Дети,17,101242.86,5955.46,2000.0,12.86,20000.0
user_304,Инвестиции,23,114327.0,4970.74,1850.0,100.0,32000.0
user_304,Коммуналка,20,60905.0,3045.25,895.0,100.0,22365.0
user_304,Красота,19,41901.6,2205.35,2000.0,11.6,7700.0
user_304,Кредиты,20,101968.0,5098.4,2245.0,80.0,44800.0
user_304,Медицина,16,92770.0,5798.12,1800.0,11.0,41000.0
user_304,Образование,28,121555.0,4341.25,1925.0,80.0,30000.0
user_304,Одежда,20,520047.0,26002.35,10467.0,120.0,200000.0
user_304,Питомцы,15,99665.0,6644.33,2000.0,370.0,50000.0
user_304,Подарки,24,189749.0,7906.21,1565.0,120.0,63000.0
user_304,Подписки,17,86794.91,5105.58,2490.0,225.0,25000.0
user_304,Продукты,18,270991.0,15055.06,7350.0,120.0,100000.0
user_304,Путешествия,16,68882.69,4305.17,735.0,80.0,55000.0
user_304,Развлечения,16,45681.92,2855.12,1555.0,80.0,11000.0
user_304,Ремонт,20,310898.0,15544.9,1250.0,20.0,150000.0
user_304,Рестораны,15,36139.58,2409.31,900.0,120.0,10600.0
user_304,Связь,17,78099.0,4594.06,1500.0,80.0,30000.0
user_304,Спорт,20,249865.0,12493.25,2000.0,240.0,200000.0
user_304,Страхование,18,91030.0,5057.22,1750.0,120.0,50000.0
user_304,Такси,16,26335.5,1645.97,1172.5,120.0,6000.0
user_304,Транспорт,31,875103.5,28229.15,2000.0,100.0,500000.0
user_304,Штрафы,24,245898.5,10245.77,2354.5,85.0,60000.0
user_304,Электроника,20,174686.0,8734.3,1964.0,299.0,50000.0
user_347,Авто,13,261475.0,20113.46,10000.0,200.0,105000.0
user_347,Аренда,22,291116.0,13232.55,2549.0,260.0,100000.0
user_347,Дети,23,183811.0,7991.78,1620.0,120.0,62500.0
user_347,Инвестиции,13,282150.0,21703.85,1800.0,120.0,230000.0
user_347,Коммуналка,27,120169.0,4450.7,2500.0,80.0,25000.0
user_347,Красота,20,297965.0,14898.25,2628.0,419.0,165000.0
user_347,Кредиты,16,49350.0,3084.38,2100.0,120.0,12500.0
user_347,Медицина,26,228697.0,8796.04,1736.5,85.0,100000.0
user_347,Образование,21,231619.0,11029.48,1800.0,115.0,100000.0
user_347,Одежда,15,158803.0,10586.87,3550.0,80.0,53750.0
user_347,Питомцы,21,167431.0,7972.9,1950.0,120.0,50000.0
user_347,Подарки,18,227131.0,12618.39,2275.0,480.0,85000.0
user_347,Подписки,20,445697.0,22284.85,2695.0,220.0,318182.0
user_347,Продукты,19,298025.1,15685.53,2700.0,85.0,170000.0
user_347,Путешествия,18,329916.0,18328.67,1275.0,100.0,170000.0
user_347,Развлечения,21,336969.0,16046.14,2270.0,80.0,220000.0
user_347,Ремонт,16,152211.0,9513.19,1555.5,80.0,50000.0
user_347,Рестораны,13,62432.0,4802.46,1600.0,85.0,35000.0
user_347,Связь,18,337117.69,18728.76,2298.0,115.0,300000.0
user_347,Спорт,15,118228.99,7881.93,2099.99,100.0,75000.0
user_347,Страхование,26,121309.0,4665.73,1220.0,75.0,25000.0
user_347,Такси,16,78404.0,4900.25,2440.0,200.0,20000.0
user_347,Транспорт,23,114460.0,4976.52,1970.0,75.0,37000.0
user_347,Штрафы,19,95096.0,5005.05,2100.0,100.0,25000.0
user_347,Электроника,17,58183.8,3422.58,1760.0,200.0,25000.0
user_379,Авто,16,301301.0,18831.31,2913.0,140.0,150000.0
user_379,Аренда,20,188755.0,9437.75,2105.0,120.0,75000.0
user_379,Дети,19,56810.0,2990.0,1288.0,80.0,15050.0
user_379,Инвестиции,15,86862.0,5790.8,3000.0,120.0,24271.0
user_379,Коммуналка,19,94975.0,4998.68,1320.0,120.0,40000.0
user_379,Красота,14,147844.0,10560.29,1375.0,80.0,100000.0
user_379,Кредиты,21,244564.0,11645.9,1150.0,120.0,72224.0
user_379,Медицина,12,103157.78,8596.48,3700.0,550.0,50000.0
user_379,Образование,22,128319.4,5832.7,1580.0,15.0,40000.0
user_379,Одежда,19,75595.0,3978.68,2550.0,125.0,30000.0
user_379,Питомцы,26,54815.0,2108.27,1547.0,11.0,10000.0
user_379,Подарки,13,179130.0,13779.23,2760.0,80.0,130000.0
user_379,Подписки,23,145095.92,6308.52,600.0,50.0,100000.0
user_379,Продукты,22,113148.0,5143.09,1340.0,120.0,59000.0
user_379,Путешествия,24,95872.0,3994.67,2385.0,50.0,20000.0
user_379,Развлечения,28,152131.0,5433.25,1586.0,50.0,80000.0
user_379,Ремонт,21,94675.31,4508.35,2300.0,100.0,25000.0
user_379,Рестораны,11,43326.0,3938.73,816.0,120.0,28000.0
user_379,Связь,22,101662.0,4621.0,2729.5,15.0,29386.0
user_379,Спорт,23,228086.03,9916.78,1999.87,130.0,150000.0
user_379,Страхование,16,147002.0,9187.62,1820.0,50.0,55000.0
user_379,Такси,23,104264.25,4533.23,2500.0,50.0,53000.0
user_379,Транспорт,17,35939.41,2114.08,970.0,23.41,9943.0
user_379,Штрафы,18,103910.0,5772.78,2430.0,80.0,35000.0
user_379,Электроника,25,472937.0,18917.48,2400.0,200.0,325000.0
user_471,Авто,23,145777.99,6338.17,1650.0,80.0,70000.0
user_471,Аренда,21,54894.1,2614.0,1150.0,75.0,9000.0
user_471,Дети,22,608916.32,27678.01,1123.5,149.0,380000.0
user_471,Инвестиции,18,105660.0,5870.0,2100.0,80.0,40000.0
user_471,Коммуналка,20,319916.0,15995.8,1775.0,100.0,200000.0
user_471,Красота,19,80655.0,4245.0,1490.0,110.0,40000.0
user_471,Кредиты,27,750670.0,27802.59,3490.0,300.0,500000.0
user_471,Медицина,20,102015.0,5100.75,2000.0,80.0,45000.0
user_471,Образование,14,38166.0,2726.14,2595.0,15.0,10000.0
user_471,Одежда,28,205628.0,7343.86,2725.0,100.0,60000.0
user_471,Питомцы,18,142463.0,7914.61,3710.5,120.0,40150.0
user_471,Подарки,24,40569.0,1690.38,875.0,100.0,10000.0
user_471,Подписки,14,108848.0,7774.86,1710.0,50.0,50000.0
user_471,Продукты,18,193425.0,10745.83,2375.0,250.0,60000.0
user_471,Путешествия,19,39260.0,2066.32,1800.0,100.0,5000.0
user_471,Развлечения,14,498129.0,35580.64,1650.0,80.0,300000.0
user_471,Ремонт,18,145499.0,8083.28,2080.0,120.0,99000.0
user_471,Рестораны,18,838680.0,46593.33,3060.0,380.0,500000.0
user_471,Связь,21,847585.0,40361.19,1650.0,120.0,425000.0
user_471,Спорт,21,239200.2,11390.49,3000.0,80.0,182000.0
user_471,Страхование,19,107982.0,5683.26,1300.0,149.0,66000.0
user_471,Такси,15,31159.0,2077.27,2000.0,200.0,6000.0
user_471,Транспорт,10,131864.69,13186.47,1745.0,100.0,94000.0
user_471,Штрафы,13,50365.0,3874.23,2120.0,85.0,25000.0
user_471,Электроника,18,62182.0,3454.56,850.0,11.0,34090.0
user_521,Авто,20,226247.5,11312.38,2137.5,100.0,150000.0
user_521,Аренда,23,170047.92,7393.39,2000.0,120.0,69000.0
user_521,Дети,26,123715.0,4758.27,1988.0,104.0,40000.0
user_521,Инвестиции,22,105358.0,4789.0,1100.0,75.0,55000.0
user_521,Коммуналка,18,93922.78,5217.93,1300.0,90.0,50000.0
user_521,Красота,17,46692.18,2746.6,1850.0,120.0,10000.0
user_521,Кредиты,19,179990.0,9473.16,1600.0,115.0,90000.0
user_521,Медицина,18,62251.42,3458.41,1540.0,160.0,20000.0
user_521,Образование,24,196671.83,8194.66,1288.5,120.0,100000.0
user_521,Одежда,13,118818.0,9139.85,4990.0,450.0,50000.0
user_521,Питомцы,21,351124.79,16720.23,1460.0,100.0,250000.0
user_521,Подарки,15,72702.0,4846.8,1400.0,120.0,25000.0
user_521,Подписки,17,111714.75,6571.46,2000.0,480.0,46000.0
user_521,Продукты,26,125435.0,4824.42,2250.0,90.0,38500.0
user_521,Путешествия,19,209256.0,11013.47,1500.0,117.0,100000.0
