Дата,Сумма,Операция,Детали,Unnamed: 4,user_id,category
30.05.2026,"-10,346.78 ₸",KZT,Сумма в обработке,OPENAI CHATGPT SUBSCR 14158799686 US,user_471,Одежда
30.05.2026,"-2,670.00 ₸",KZT,Сумма в обработке,GASTRONOMIYA ALMATY KZ,user_665,Аренда
29.05.2026,"-1,730.00 ₸",KZT,Сумма в обработке,UBER ALMATY KZ,user_665,Кредиты
29.05.2026,"-2,290.00 ₸",KZT,Сумма в обработке,UBER ALMATY KZ,user_809,Транспорт
29.05.2026,"-1,850.00 ₸",KZT,Платеж,Возмещение за QR оплату через POS 72002160 на сумму 1850 KZT,user_809,Развлечения
29.05.2026,"+500,000.00 ₸",KZT,Пополнение,"Поступление от Товарищество с ограниченной ответственностью ""Freedom Holding Operations"" БИН 240340008470 ПП №106 от 29.05.2026. Для зачисления на картсчета сотрудникам согласно спи ск",user_379,Одежда
29.05.2026,"-1,180.00 ₸",KZT,Сумма в обработке,IP KRISTINA ALMATY KZ,user_809,Спорт
29.05.2026,"-2,900.00 ₸",KZT,Сумма в обработке,UBER ALMATY KZ,user_379,Медицина
28.05.2026,"-3,160.00 ₸",KZT,Покупка,EUROPHARMA 323 PHARMACY ALMATY KZ,user_777,Коммуналка
28.05.2026,"-11,199.00 ₸",KZT,Сумма в обработке,YANDEX.EDA ALMATY KZ,user_809,Кредиты
28.05.2026,"-6,990.00 ₸",KZT,Покупка,APPLE.COM BILL ITUNES.COM IE,user_379,Образование
27.05.2026,"-3,980.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_809,Коммуналка
27.05.2026,"-2,550.00 ₸",KZT,Покупка,KFC 12773 ALMATY KZ,user_665,Рестораны
27.05.2026,"-27,543.00 ₸",KZT,Покупка,ZOLOTOE YABLOKO SHOP ALMATY KZ,user_777,Образование
26.05.2026,"-7,000.00 ₸",KZT,Перевод,Безвозмездный перевод,user_304,Связь
26.05.2026,"+68,850.00 ₸",KZT,Пополнение,Заработная плата. Сумма на руки за период май 2026 г.,user_471,Путешествия
24.05.2026,-780.00 ₸,KZT,Покупка,CU MINIMARKET ALMATY KZ,user_304,Транспорт
24.05.2026,"-2,490.00 ₸",KZT,Покупка,SPECTRE COFFEE ALMATY KZ,user_665,Такси
22.05.2026,"+2,883.19 ₸",KZT,Пополнение,Между своими счетами,user_966,Подарки
21.05.2026,-150.00 ₸,KZT,Покупка,EUROPHARMA 323 PHARMACY ALMATY KZ,user_347,Инвестиции
20.05.2026,-414.00 ₸,KZT,Перевод,Оплата за ПКО,user_560,Дети
20.05.2026,+414.00 ₸,KZT,Пополнение,Перевод вклада по Договору №KZ74551T600064346KZT от 20.05.2026. Вкладчик: Сулейменова Д.Т.,user_809,Медицина
20.05.2026,-104.00 ₸,KZT,Перевод,Оплата за ПКР,user_521,Связь
20.05.2026,+104.00 ₸,KZT,Пополнение,Перевод вклада по Договору №KZ74551T600064346KZT от 20.05.2026. Вкладчик: Сулейменова Д.Т.,user_379,Кредиты
20.05.2026,"-2,980.00 ₸",KZT,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 2980 KZT,user_777,Подарки
20.05.2026,"-1,880.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_521,Страхование
20.05.2026,+490.00 ₸,KZT,Покупка,Возврат. Отмена покупки,user_560,Красота
20.05.2026,-490.00 ₸,KZT,Покупка,UBER ALMATY KZ,user_347,Рестораны
20.05.2026,"-3,000.00 ₸",KZT,Покупка,Izi Almaty KZ,user_560,Коммуналка
19.05.2026,"-3,005.00 ₸",KZT,Покупка,CU MINIMARKET ALMATY KZ,user_809,Штрафы
19.05.2026,"-2,650.00 ₸",KZT,Платеж,Возмещение за QR оплату через POS 72002160 на сумму 2650 KZT,user_521,Электроника
19.05.2026,"-2,600.00 ₸",KZT,Перевод,Лян Ирина Эдуардовна Безвозмездный перевод,user_379,Красота
19.05.2026,"-1,180.00 ₸",KZT,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 1180 KZT,user_665,Образование
19.05.2026,"-2,080.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_777,Рестораны
19.05.2026,-450.00 ₸,KZT,Покупка,APPLE.COM BILL ITUNES.COM IE,user_809,Рестораны
18.05.2026,+648.00 ₸,KZT,Пополнение,Пополнение. Возврат денег за заказ 5618689 Arbuz,user_777,Образование
18.05.2026,-648.00 ₸,KZT,Платеж,"ТОО ""Arbuz Group (Арбуз Груп)"" Возврат денег за заказ 5618689 Arbuz",user_379,Инвестиции
18.05.2026,"-16,558.00 ₸",KZT,Платеж,"ТОО ""Arbuz Group (Арбуз Груп)"" За оплату билета/услугу/продукты /товар заказ 5618689 Arbuz",user_809,Ремонт
18.05.2026,"-5,393.00 ₸",KZT,Покупка,SAMA LEPILA SHOP ALMATY KZ,user_379,Транспорт
18.05.2026,"-2,320.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_966,Подписки
18.05.2026,"+44,800.00 ₸",KZT,Пополнение,Перевод с карты на карту,user_665,Развлечения
13.05.2026,-400.00 ₸,KZT,Перевод,Перевод с карты на карту,user_665,Питомцы
12.05.2026,-820.00 ₸,KZT,Покупка,GASTRONOMIYA ALMATY KZ,user_471,Инвестиции
12.05.2026,"-1,495.00 ₸",KZT,Покупка,TRAVELERS COFFEE ALMATY KZ,user_777,Аренда
12.05.2026,-23.41 ₸,KZT,Перевод,Возврат денег за заказ 168655349 Aviata списание кешбэков,user_521,Авто
12.05.2026,+249.00 ₸,KZT,Пополнение,Пополнение. Возврат денег за заказ 168655349 Aviata,user_777,Развлечения
12.05.2026,-249.00 ₸,KZT,Платеж,"ТОО ""Aviata"" Возврат денег за заказ 168655349 Aviata",user_809,Аренда
12.05.2026,"-1,550.00 ₸",KZT,Покупка,NAUBAY CAFE ALMATY KZ,user_560,Одежда
12.05.2026,"-3,000.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_304,Питомцы
12.05.2026,"-14,085.00 ₸",KZT,Платеж,"ТОО ""Aviata"" За оплату билета /услугу/продукты/товар заказ 162994767 Aviata",user_471,Такси
12.05.2026,"-22,365.00 ₸",KZT,Платеж,"ТОО ""Aviata"" За оплату билета /услугу/продукты/товар заказ 168655349 Aviata",user_304,Одежда
12.05.2026,"-35,703.00 ₸",KZT,Платеж,"ТОО ""Aviata"" За оплату билета /услугу/продукты/товар заказ 135287923 Aviata",user_379,Рестораны
12.05.2026,"+68,000.00 ₸",KZT,Пополнение,Перевод с карты на карту,user_560,Дети
11.05.2026,-499.00 ₸,KZT,Покупка,APPLE.COM BILL ITUNES.COM IE,user_665,Спорт
11.05.2026,"-3,370.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_966,Коммуналка
11.05.2026,"-2,735.00 ₸",KZT,Покупка,SPECTRE COFFEE ALMATY KZ,user_347,Транспорт
09.05.2026,"+11,777.40 ₸",KZT,Пополнение,Между своими счетами,user_665,Подарки
09.05.2026,"-11,892.00 ₸",KZT,Перевод,Рахымберді Дариға Мейрамбекқызы Безвозмездный перевод,user_379,Связь
08.05.2026,"-1,840.00 ₸",KZT,Перевод,Нұржанов Бауыржан Наурызбекұлы Безвозмездный перевод,user_665,Транспорт
08.05.2026,"-3,770.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_809,Дети
07.05.2026,"-14,085.00 ₸",KZT,Платеж,"ТОО ""Aviata"" За оплату билета /услугу/продукты/товар заказ 158444869 Aviata",user_809,Дети
07.05.2026,"-36,450.00 ₸",KZT,Платеж,"ТОО ""Aviata"" За оплату билета /услугу/продукты/товар заказ 179999789 Aviata",user_560,Красота
07.05.2026,"+40,000.00 ₸",KZT,Пополнение,Перевод с карты на карту,user_966,Ремонт
07.05.2026,"-35,703.00 ₸",KZT,Платеж,"ТОО ""Aviata"" За оплату билета /услугу/продукты/товар заказ 156282747 Aviata",user_665,Коммуналка
07.05.2026,"-4,960.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_304,Образование
07.05.2026,-380.00 ₸,KZT,Покупка,UBER ALMATY KZ,user_379,Страхование
06.05.2026,"-3,510.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_304,Авто
06.05.2026,"-1,097.00 ₸",KZT,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 1097 KZT,user_966,Транспорт
06.05.2026,"-6,688.00 ₸",KZT,Покупка,TOM YUM BAR RESTAURANT ALMATY,user_304,Коммуналка
06.05.2026,"-2,210.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_471,Ремонт
05.05.2026,"-2,490.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_304,Кредиты
05.05.2026,"-4,700.00 ₸",KZT,Перевод,Болат Алишер Амантайұлы Безвозмездный перевод,user_966,Продукты
05.05.2026,-310.00 ₸,KZT,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 310 KZT,user_304,Питомцы
05.05.2026,"-1,970.00 ₸",KZT,Покупка,YANDEX.GO ALMATY KZ,user_471,Аренда
04.05.2026,"-2,500.00 ₸",KZT,Покупка,YANDEX.GO ALMATY KZ,user_777,Красота
